M1_BLUEPRINT_1,M1_BLUEPRINT_2,M1_BLUEPRINT_3,M1_FANTOM_1,M1_FANTOM_2,M1_FANTOM_3,M2_BLUEPRINT_1,M2_BLUEPRINT_2,M2_BLUEPRINT_3,M2_HPCA_1,M2_HPCA_2,M2_HPCA_3
,,EXOC5,,FKBP15,HSPB7,ADAMDEC1,,,POGK,,
,,STIP1,,NCAPH,ADAMDEC1,COMMD9,,,MYOZ1,,
,,UQCR11,,MYOF,GLRX2,SLC25A24,,,IPPK,,
,,SDS,,HSPB7,MS4A4A,SPG21,,,CARD14,,
,,LILRB4,,ADAMDEC1,ATP6V1H,MS4A4A,,,ALG9,,
,,OGFR,,GLRX2,TREM2,ANKFY1,,,MRM1,,
,,TFEC,,NDUFAF1,TMEM70,BTBD1,,,DHX57,,
,,FKBP15,,SPG21,TMEM33,STX18,,,SLC25A46,,
,,DNAJC13,,MS4A4A,KCNK13,RIN2,,,OSBPL11,,
,,TDRD7,,ATP6V1D,SLAMF8,PQLC2,,,CCDC85C,,
,,STX12,,ATP6V1H,HAMP,TMEM70,,,,,
,,IL17RA,,TREM2,DNASE2B,ACSM5,,,,,
,,ABTB2,,PQLC2,MYOZ1,AGGF1,,,,,
,,FAM32A,,TMEM70,MFSD7,SLC38A7,,,,,
,,SIGLEC7,,PLEKHB2,ADO,VPS53,,,,,
,,SIGLEC9,,TMEM33,ADCK2,NOP10,,,,,
,,ADAMDEC1,,SLAMF8,TBC1D16,IARS2,,,,,
,,CECR5,,HAMP,,CCDC88A,,,,,
,,SLC25A24,,DNASE2B,,VPS35,,,,,
,,NRBP1,,MYOZ1,,TMEM184C,,,,,
,,MS4A4A,,LONRF3,,EXOC1,,,,,
,,TREM2,,CLPB,,SLAMF8,,,,,
,,OTUD4,,MFSD7,,C16orf62,,,,,
,,PQLC2,,ADCK2,,POGK,,,,,
,,HAUS2,,,,HAMP,,,,,
,,ARL8B,,,,DNASE2B,,,,,
,,NECAP2,,,,MTMR14,,,,,
,,WDR11,,,,GORASP1,,,,,
,,ZC3H15,,,,C10orf76,,,,,
,,CCDC47,,,,LONRF3,,,,,
,,UTP3,,,,UBXN6,,,,,
,,MRS2,,,,,,,,,
,,HAMP,,,,,,,,,
,,MRPL40,,,,,,,,,
,,VPS33A,,,,,,,,,
,,CORO7,,,,,,,,,
,,LIMD2,,,,,,,,,
,,TMX1,,,,,,,,,
,,DOT1L,,,,,,,,,
,,ADO,,,,,,,,,
,,ADCK2,,,,,,,,,
